COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32049 
 NOMBRE    : SAN FRANCISCO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : GENERAL FRANCISCO R. MURGUÍA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.32472222 ° 
 LONGITUD  : -102.885 ° 
 ALTITUD   : 1680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2012	128.51	133.11	244.2	258.95	294.8	290.07	214.49	213.62	155.35	176.47	120.35	138.34	2368.26	197.4	12
2013	120.68	194.84	220.39	290.02	285.48	279.93	191.38	207.39	151.08	164.3	87.46	114.08	2307.03	192.3	12
2014	108.51	182.31	232.06	274.97	258.84	227.45	208.36	191.31	156.66	176.41	110.92	105.62	2233.42	186.1	12
2015	106.55	130.09	127.51	192.94	264.37	178.52	183.14	220.18	181.21	135.64	121.34	137.23	1978.72	164.9	12
2016	135.9	171.76	207.23	250.5	266.8	234.96	229.72	145.96	139.95	145.03	106.42	127.93	2162.16	180.2	12
2017	150.46	172.67	207.02	254.96	312.65	272.16	209.65	196.71	117.63	155.79	147.04	84.27	2281.01	190.1	12
2018	118.98	147.48	229	242.78	282.6	223.7	234.61	217.25	136.36	117.36	116.64	118.53	2185.29	182.1	12
2019	124.88	181.49	214.18	263.74	315.55	237.24	232.69	238.89	157.9	176.79	118.31	113.39	2375.05	197.9	12
2020	97.68	151.95	212.92	254.69	281.29	278.85	201.79	210.71	148.06	197.43	150.5	128.48	2314.35	192.9	12
2021	129.3	178.74	228.9	263.53	252.95	202.85	164.72	178.86	139.2	134.75	123.33	121.22	2118.35	176.5	12
2022	134.69	164.32	248.55	257.6				173.42	142.55	121.01	132.65		1374.79	171.8	8
2023	145.97	161.52	244.12	234.38	243.05	300.98							1330.02	221.7	6
MÍNIMA	75.1	115.98	127.51	189.3	235.35	178.52	152.15	145.96	117.63	117.36	87.46	84.27	814.69	135.8	6
MÁXIMA	150.46	194.84	248.55	292.66	315.55	303.93	259.03	268.69	206.97	197.43	150.88	142.07	2540.61	221.7	12
MEDIA	123.3	158.2	218.8	253.4	277.5	252.1	213.4	208.9	155.7	158.9	125.2	116.1	2094.8	187.4	11.1
DESV.ST	17.2	22	28.2	27	26.1	33.5	31.1	28.3	22.7	22.3	16.6	16.8	409.2	16.9	1.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1989				30.6	34.6	34.8	32.7	30.8	29.8	29	25.6	20.2		29.8	9
1990	24	23.6	29	31.1	34.5	34.3	29.4	29.5	29	27.3	27.1			29	11
1991	23.1	24	30	31.2	34.1	33.5	27.4	30.3	26.5	26.6	24.6	21		27.7	12
1992	17.5	21.6	26.2	28.5	30	34.6	32.4	30.6	29.6	27.8	25	25.7		27.5	12
1993	23.2	26.4	26.8	30	31.3	32.5	32	32	28.1	28.8	26.1	25.5		28.6	12
1994	23.4	27.2	28.2	30.3	34	32.3	32.6		29.1	28.9	28.9	24.1		29	11
1995	23.5	25.6	28.4	31	35	34.2		30.6	31	29.2	27.3	23.5		29	11
1996	24.9	27.7	27.8	30.2	35.2	32.4	32.9	30.5	29.8	27.1	25.5	23.8		29	12
1997	22.5	25.1	26.4	26.6	31.4	33.5	32.6	33	30.6	27.9	26.9	21.1		28.1	12
2009	25.3	28.1	29	31.9	33	33.5	33.1	31.9	28	28.6	24.6	23.1		29.2	12
2010	21.7	21.4	26.1	31.1	34.5	34.3	29.9	32.8	29.8	29.5	26	24.9		28.5	12
2011	24.4	27.4	30.5	33.9	35.1	35.3	31.9	33.3	31	29.7	26.5	25		30.3	12
2012	24.4	24.7	29.5	31.9	33.8	34.3	31.2	31.7	29	29.5	26.4	25.2		29.3	12
2013	22.8	26.3	27.6	31.6	32.8	34.2	29.4	31	27.6	28.6	23.8	22.5		28.2	12
2014	22.3	29.1	29.2	31.8	32.5	33.4	30.7	31.1	29.3	30.2	23.6	24.4		29	12
2015	22.5	24.1	24.6	30.7	33	31.3	30.6	32.7	31.2	28.1	28.1	25.1		28.5	12
2016	23	27.5	27.6	31.3	34.1	33.5	33.9	29.2	29.4	29	25.4	26.7		29.2	12
2017	24.9	27.8	29	31.6	35	35.5	32.2	31.2	28	29	28.7	22		29.6	12
2018	23.7	26.4	31.2	32.4	35	33.5	32.9	32.3	28.1	26.6	25.2	23.2		29.2	12
2019	24.8	28.6	30.7	31.5	34.9	34.4	33.7	34.6	30.6	30.8	26.4	24.5		30.5	12
2020	22.5	26.2	31.6	33.9	34.2	34.4	31.8	32.3	29.2	31.4	29.1	24.1		30.1	12
2021	24.7	28.7	31.3	33.2	33.8	32.6	29.6	31.3	30.1	29.3	27.4	27.5		30	12
2022	25	26.2	30.4	33.6				31.6	29.1	27.4	29.2			29.1	8
2023	26.9	28.7	31.9	32.2	32.7	38.3								31.8	6
MÍNIMA	17.5	21.4	24.6	26.6	30	31.3	27.4	29.2	26.5	26.6	23.6	20.2		27.5	6
MÁXIMA	26.9	29.1	31.9	33.9	35.2	38.3	33.9	34.6	31.2	31.4	29.2	27.5		31.8	12
MEDIA	23.5	26.2	28.8	31.3	33.7	33.9	31.6	31.6	29.3	28.7	26.4	24		29.2	11.3
DESV.ST	1.8	2.2	2	1.6	1.4	1.4	1.7	1.3	1.2	1.2	1.6	1.9		0.9	1.5

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1989				33.5	39	40.5	37	34	33.5	33.5	31	25		34.1	9
1990	28	28	33	34.5	40	38	32	32	31	31.5	31.5			32.7	11
1991	27	28.5	34.5	34.5	37.5	37	31.5	33.5	29.5	31	28	26.5		31.6	12
1992	23	27.5	31.5	33.5	33	38	36.5	33	33	31	30	30		31.7	12
1993	27.5	31.5	31	34	34	38	34	35	31.5	33.5	30	29		32.4	12
1994	28	32	35	34	36	35	36		32	33.5	31	29.5		32.9	11
1995	29	29.5	34	34	37.5	38.5		34	34	33	31	30.5		33.2	11
1996	30	32	33	35	39	36	35	34	33	32.5	32	28		33.3	12
1997	28.5	31.5	31	33.5	35.5	37	34.5	35.5	33	32	31	30		32.8	12
2009	30	33	33.5	36	37.5	37.5	36.5	35.5	31.5	34	31.5	28.5		33.8	12
2010	28	28	32.5	34	37.5	38	34	34.5	35.5	35	31	29		33.1	12
