COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32045 
 NOMBRE    : RIO GRANDE (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : RÍO GRANDE 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.81694444 ° 
 LONGITUD  : -103.0258333 ° 
 ALTITUD   : 1902 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963	23.4	23.6	26.8	33.3	32.5	32.6	29.8	29.9	28	25.1	23.8	19.7		27.4	12
1964	21.2	21.1	25.9	31.8	31.2	31.8	31.4	31.5	28.4		23.7	21.7		27.2	11
1965	22.7	23.3	26.6	29.3	30.1	32.4	31.8	31.2	31	25.8				28.4	10
1968	26	24.1	28	28.4	32.2	30.9								28.3	6
1969	26.5													26.5	1
1970	27	28.1	28.6		33.1	31.7	30.9	30.8	27.3					29.7	8
1991	21.7	23.3	29.1	29.9	32.7	31	24.2	26.5	23.3	23.5	22.5	19.4		25.6	12
1992	15.4	19.2	24	26.2	28.2		28.4	27.1	26.3	23.9	21.8	22.8		23.9	11
1993	21	24.1	25	28	29.2	29.9	28.4	28.7	24.1	25.2	23.1	22.6		25.8	12
1994	20.4	24.8	27	29	31.9	28.7	29.7	27.2	25.4	26.3	26	21.3		26.5	12
1995	21.9	23.6	27.3	29.6	33.9	31.8	28.9	27.3	27.3	26.5	24.2	20.5		26.9	12
1996	22.4	24.7	26	28.8	32.8	29.5	29.4	27.8	26.7	23.2	22.4	20.4		26.2	12
1997	19.6	23.3	23.8	25	28.5	30	28.4	29.1	27	25.2	23.6	18.4		25.2	12
1998	20.3	21.6	26.4	30.8	34	32.6	30.2	27.1	25.4	26.2	25.2	23.7		27	12
1999	21.2	24.2	26.2	30.6	31.8	29.7	27.6	28.7	27	24.9	22	20.4		26.2	12
2000	22.1	24.9	27.4	29.5	30.7	26.1	27.9	26.5	26.9	25.4	23.2			26.4	11
2005	20.9	19.2	23.6	28.7	30.8	32.6	28.1	26.3	27.3	25.1	23.2	20.7		25.5	12
2006	21.3	23.8	27.1	31.6	30.1	28.6	26.6	26.2	25.1	23.9	22.3	18.9		25.5	12
2007	19.7	22.2	26.5	28.4	30	29	26.5	27.1	25.7	25.2	23.1	22.8		25.5	12
2008	21.1			28.6	29.4	29.6	26.9	27.2	23.7	20.6	19.2	20.3		24.7	10
2009	20.4	21.1	25.9	29.8	30.2	29.7	29.2	28.9	25	24.2	20.2	18.4		25.2	12
2010	17.8	17.9	24	29.1	32.2	31.1	26.4	29.3	26.4	26.8	24.8	22.9		25.7	12
2011	23	26.2	30	33.1	34	33.4	29	29.7	28.4	27.4	25.1	23.1		28.5	12
2012	22.6	22.5	28.3	31.3	33.5	32.5	29.9	29.7	27.1	28.5	25.3	23.6		27.9	12
