COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/09/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: SEPTIEMBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32004 
 NOMBRE    : CAMACHO (SMN) 
 ESTADO    : ZACATECAS 
 MUNICIPIO : MAZAPIL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 24.44388889 ° 
 LONGITUD  : -102.3736111 ° 
 ALTITUD   : 1665 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1995	7.2	11.2	11.5	12.9	18.4	20.1	15.6	15.9	14.5	9	7.7	3.4		12.3	12
1996	0.2	6.5	6.1	7.7	14.9	15	15.2	14.3	13.8	8.8	4.8	0.9		9	12
1997	-2	4.2	6.8	9	12.2	15.4	15	14.3	15	9.6	7.5	1		9	12
1998	1		4.6	7.8	13	15.3	14.7		13.6	11.6	8.5	3.7		9.4	10
1999	0.5	5.2	6.7	10.6	10.8	15.6	13.7	14.5	13	8.5	2.9	0.1		8.5	12
2000	1	1.4	1.9	1.7	11.4	12.8	14	12.7	12.5	9.3	5.3	0.8		7.1	12
2001	0.8	2.3	3.6	11.6	12.3	13.7	14.5	13.8	12.6	8.1	4.5	2.7		8.4	12
2002	1.2	3.5	6.5	11.4	13.8	14.4	14.2	13.8	12.9	10.8	7.4	2		9.3	12
2003	2.8	4.1	4.7	5.1	13.3	14.9	13.6	12.3	12.6	8.8	6.6	-1.5		8.1	12
2005	0.9	4.5	3.8	6.6	9.5	13.5	13.6	12.8	12.5	10.3	3.9	2.8		7.9	12
2006	-1.9		5.6	8.7	13	13	12.5	13.2	12.4	10.1	4.3	2.6		8.5	11
2008	1.5	3.1	4.8	9.2	12.2	13.5	13.1	13	12.4		5.4	1.8		8.2	11
2009	2.6	3.3	6.4	8.3						9.1	4.2	3.1		5.3	7
2010	0.9	2.6	4.5	7.2	12.5	14.8	13.9	11.6	13.1	7.3	9.6	5		8.6	12
2011	3.4	3.6	7.5					13.3	12.6	8.5	4.1			7.6	7
2012	1.2	3.7	6.2	9.4	12.6	14.9	14.5	14.4	12.8	10.1	6.4	2.5		9.1	12
2013	1.7	3.2	3.6	8	11.6	15.4	14.5	14.1	13.2	10.3	6.3	2.4		8.7	12
2014	-1.1	3.7	5.5	9.1	11.6	15.3	14.8	14.8	12.7	9.5	3.1			9	11
2015	2.5	3.5	4.7	10	12	14.5	14.3	13.2	12.9	10.3	8.1	1.3		8.9	12
2016	-3	1.1	5.1	7.8	12.7	13.2	15	14.1	13.5		6	2.7		8	11
2017	1.8	1.1		8.7	12.7	15.6	13.9	14.6	13	9.5	4.5	1.6		8.8	11
2018	2.5	7	8.8	11	15.2	15.5		15.9	14.6	10.2	3.2	2.2		9.6	11
2019	2.7	4.7	7.5	12.5	12.1	15.6	15.5							10.1	7
2020	3	3.8	9.2	10.1	11.9	16.1	15.5			9.7	6.2	2.1		8.8	10
2021	3	3	6.5	10	13.3	14.4	15.4	14.5			4.6	3		8.8	10
2022	1.1	2.2	3.2	8.9	13.1	15.4	15.4	14.8	12.3	6.9				9.3	10
MÍNIMA	-3	1.1	1.9	1.7	9.5	12.3	12.5	11	10.6	6.9	2.9	-1.5		5.3	2
